"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.626905194E2,6.505740208E1,2.546968183E1,1.570412196E1,1.470000029E0,8.690000153E1,3.790092468E0,2.500000000E0
1.636888325E2,6.505740175E1,2.546971257E1,1.558242133E1,1.440000057E0,8.909999847E1,3.790092468E0,2.500000000E0
1.646912984E2,6.505740265E1,2.546974519E1,1.575759544E1,1.419999957E0,8.159999847E1,3.790092468E0,2.500000000E0
1.656907210E2,6.505740267E1,2.546977953E1,1.551925688E1,1.580000043E0,8.550000000E1,3.790092468E0,2.500000000E0
1.666870061E2,6.505740351E1,2.546981464E1,1.563492201E1,1.500000000E0,8.050000000E1,3.790092468E0,2.500000000E0
1.676874436E2,6.505740398E1,2.546984851E1,1.582688109E1,1.440000057E0,8.559999847E1,3.790092468E0,2.500000000E0
1.686840541E2,6.505740507E1,2.546988276E1,1.630601038E1,1.419999957E0,8.390000153E1,3.790092468E0,2.500000000E0
1.696875796E2,6.505740577E1,2.546991682E1,1.624046207E1,1.460000038E0,8.830000305E1,3.790092468E0,2.500000000E0
1.706896878E2,6.505740663E1,2.546995260E1,1.627391290E1,1.460000038E0,8.369999695E1,3.790092468E0,2.500000000E0
1.717087699E2,6.505740912E1,2.546998935E1,1.640801020E1,1.549999952E0,7.790000153E1,3.790092468E0,2.500000000E0
1.726834784E2,6.505741223E1,2.547002641E1,1.644963903E1,1.440000057E0,8.050000000E1,3.790092468E0,2.500000000E0
1.736968656E2,6.505741409E1,2.547006094E1,1.620153417E1,1.370000005E0,8.230000305E1,3.790092468E0,2.500000000E0
1.746831231E2,6.505741566E1,2.547009751E1,1.692993112E1,1.559999943E0,8.230000305E1,3.790092468E0,2.500000000E0
1.756915792E2,6.505741763E1,2.547013297E1,1.728796646E1,1.409999967E0,7.650000000E1,3.790092468E0,2.500000000E0
1.766954167E2,6.505741936E1,2.547016625E1,1.730866034E1,1.399999976E0,7.769999695E1,3.790092468E0,2.500000000E0
1.776947724E2,6.505742145E1,2.547019832E1,1.751551119E1,1.409999967E0,6.530000305E1,3.790092468E0,2.500000000E0
1.786931013E2,6.505742793E1,2.547022521E1,1.784467426E1,1.480000019E0,4.440000153E1,3.790092468E0,2.500000000E0
